,perimiter,area,red,green,blue,fruit
0,363.32084798812866,8196.5,145.28249258160238,120.86520605112155,23.825310467179182,jeruk
1,615.9726496934891,23190.5,167.6723874321535,138.67621980104215,29.954432734035958,jeruk
2,374.49242174625397,8577.5,145.23350157127894,121.0305875227135,37.71471440397351,jeruk
3,511.8893895149231,15831.5,152.5585916109955,131.3005757507338,21.418034737092555,jeruk
4,545.3036025762558,16978.0,146.6707329522254,129.3029903486103,22.370790474848526,jeruk
5,542.759446978569,17895.0,165.77294638944343,139.65000503372596,20.02783259612113,jeruk
6,492.91882705688477,14961.5,173.9228520662578,140.2984744241699,18.517600940807526,jeruk
7,441.948264837265,11869.5,160.10328773010528,135.62007462686566,21.442989284733034,jeruk
8,533.3452333211899,16168.5,135.58660446160445,130.00757700543568,21.064511065766755,jeruk
9,441.84775972366333,10689.0,125.08147676639084,119.45836708245585,21.758378718056136,jeruk
10,763.3696179389954,27460.5,130.0097014191603,128.60701973273797,21.17669135802469,jeruk
11,615.3452340364456,22952.5,184.3806727175654,130.69700270281174,20.23914458391446,jeruk
12,578.6173111200333,17792.0,169.02830790364519,147.9495615146753,21.138788492120863,jeruk
13,581.830514550209,21845.5,173.86131148877206,138.3083080552747,19.773940830842182,jeruk
14,596.9015824794769,21156.0,170.3764710723397,143.37400620721908,20.01183043049622,jeruk
15,675.6711342334747,27593.0,162.8493199713672,140.98559423769507,19.849712110861716,jeruk
16,465.7472538948059,13504.5,170.79385080645162,143.37404280384843,19.446870314842577,jeruk
17,588.7594465017319,20727.0,173.08622789701374,136.02468866069478,18.421278447954233,jeruk
18,590.173659324646,21442.5,180.44534985240927,147.50156216563235,16.406195353484886,jeruk
19,694.8427067995071,30156.0,177.0728749775999,142.80320359097337,25.129005176997342,jeruk
20,397.563489317894,9334.0,153.92874607055535,125.3674465733235,24.51319816373374,jeruk
21,475.0609624385834,13908.5,166.31455719786362,140.20666709735772,20.38412210982659,jeruk
22,447.1614685058594,12681.0,164.68001330229464,146.56614119259768,20.630167597765364,jeruk
23,497.16146779060364,14627.0,177.27633759469697,140.78393470790377,20.578073089700997,jeruk
24,575.5878742933273,20474.0,179.74311846689895,141.97603219825442,22.63750964754309,jeruk
25,439.2619732618332,10312.5,132.2925335636335,103.39723056389722,14.155524354681932,jeruk
26,447.6051194667816,11328.5,136.9316843345112,104.59190346438302,15.90717760349449,jeruk
27,502.23253536224365,13626.5,135.14660790764074,101.55117065729256,12.029362783767201,jeruk
28,431.1198375225067,10827.5,133.6197150379433,100.30603939443269,20.27595684039088,jeruk
29,522.6173111200333,13611.0,148.75787120412346,110.18594236760124,15.699800329889747,jeruk
30,438.1909055709839,10285.0,137.06906692099824,100.15975331587396,15.537362059905412,jeruk
31,428.53405141830444,10092.0,138.39076318375368,102.68241652863743,15.878113000548547,jeruk
32,507.4457392692566,15007.0,147.24286688643855,108.00171577328126,14.418170256736348,jeruk
33,463.8477592468262,11926.0,133.94637068358,97.23074043572659,14.87815208825847,jeruk
34,476.57568168640137,12700.5,137.19786659643117,100.46827499651374,15.072036969916637,jeruk
35,444.53405117988586,11451.0,137.41987650690973,99.4505000387627,15.261944635996453,jeruk
36,444.19090509414673,11577.0,152.96925925925925,115.39309286262471,16.651860367892976,jeruk
37,614.4163011312485,10550.0,121.01541095890411,91.57746823069404,12.833926725623062,jeruk
38,478.7178169488907,12262.5,157.4885178875639,119.28798234372775,15.536854437176608,jeruk
39,586.5168060064316,17648.5,149.00406265296132,111.22641509433963,14.395503026808878,jeruk
0,309.1787129640579,3051.5,82.72200709906421,66.6525756979945,21.814903846153847,banana
1,504.2325351238251,11327.5,132.9984251968504,104.97557309282224,19.6263322307975,banana
2,293.27921760082245,3136.0,89.0846058605035,74.97487673162715,17.150325097529258,banana
3,314.6518017053604,4052.0,99.70799401695197,85.12914714151827,19.333685545224007,banana
4,483.2863577604294,7151.5,117.07023991832568,98.62382760160786,18.845686198421937,banana
5,631.7300087213516,15933.0,138.77603812117087,109.74027610386764,15.79874928936896,banana
6,594.3746707439423,10715.5,129.32329272794388,104.82490732707626,19.547329049582814,banana
7,581.4457386732101,14550.0,139.22046076642334,113.90048455481526,20.228739002932553,banana
8,710.8427072763443,15541.0,120.8678631402183,96.54174746523353,16.235575463103554,banana
9,502.96045792102814,10386.0,134.2310996563574,105.83374485596708,17.93105168629016,banana
10,555.9726495742798,11905.5,128.07783820530253,102.39545585274662,12.205754828537643,banana
11,562.2569198608398,10869.5,130.37382773048623,107.25297481069387,17.755871212121214,banana
12,680.5828212499619,17207.0,128.98311908804268,102.46975233455136,14.816326530612244,banana
13,717.872144818306,15120.0,119.79693943998264,93.7897409266632,19.673612155859786,banana
14,649.1686074733734,14112.5,130.66189439926697,108.27035433310972,19.70716151836484,banana
15,459.56348872184753,9038.0,118.68984812150279,94.82892998678996,15.164475256992588,banana
16,607.2274825572968,13037.5,124.38113301411603,98.53645559642669,14.350839431769264,banana
17,457.8893893957138,8034.5,117.16116934320608,92.69819406183042,14.217470664928292,banana
18,475.50461316108704,8698.0,118.84453857245855,95.33499043977055,14.77826941986234,banana
19,484.23253560066223,9347.5,129.5441164030116,107.37222523010287,17.67198415180899,banana
20,490.2914105653763,9045.5,125.73479062417698,104.01756352765321,17.107934082724,banana
21,476.04877042770386,9439.0,119.215635516438,94.5769019248396,16.074144261518416,banana
22,415.84775960445404,7900.0,111.77774512684886,89.90760640539402,12.706994068147331,banana
23,510.77669179439545,11299.5,129.97767110335298,104.14562204846327,16.53818217510797,banana
24,444.7350617647171,7390.0,116.62530107864698,95.47417840375587,15.303145478374836,banana
25,456.43354618549347,8510.5,126.00231932461267,101.89859867652783,16.03991356298462,banana
26,453.4213534593582,7946.0,116.59525216706068,95.4268944555078,14.329408848680133,banana
27,444.634556889534,8126.5,112.36290630975144,91.73525785905075,14.042591404746632,banana
28,571.4284936189651,11513.5,125.9419649122807,99.59295180276894,14.74457737574166,banana
29,525.1198378801346,11982.5,136.66936257710762,108.00216575223794,15.638787011360586,banana
30,550.9604579210281,13331.0,143.13706188475766,110.85339933993399,17.86891236990546,banana
31,788.0975403785706,25727.0,125.69551024058671,106.37890479732242,24.181663733996725,banana
32,540.5168060064316,11960.5,127.72516624391582,98.99630782596105,13.974377880184331,banana
33,532.9015816450119,10843.0,115.22122847217089,87.71269592476489,12.253483606557378,banana
34,574.374671459198,11935.5,133.21352965124169,109.88940426148717,21.368372265480165,banana
35,518.8010759353638,10039.5,115.30103192518543,88.83493892998452,12.74546835992619,banana
36,609.7888841629028,13124.0,136.63786238646261,111.84153835987577,19.752595898052004,banana
37,586.4751752614975,14294.0,144.87964268923366,117.47212329608253,16.70923822251921,banana
38,625.8305141925812,14849.5,136.84777151782228,115.5531167690957,15.316291808448835,banana
39,587.3452334403992,11700.5,132.31409948542023,109.38459858796128,16.3050395256917,banana
0,643.3036036491394,10977.0,103.78451852911718,88.65403773584906,50.73731662591687,pear
1,516.2914105653763,8956.5,101.32053494391717,87.45800609812437,49.98668776764104,pear
2,543.2619739770889,10790.5,101.90829182537357,85.88871066300031,49.06597382602001,pear
3,493.22034323215485,9620.0,99.71184058210683,84.95697407864574,46.716413939877626,pear
4,367.8650050163269,7037.5,103.03559870550161,88.66842927532748,48.90467711301044,pear
5,542.1909053325653,11093.0,104.60086339357576,92.82518242508927,58.16090611863615,pear
6,486.29141092300415,11734.5,104.0135524190717,90.81546353975816,57.96598992294013,pear
7,527.3624783754349,10144.0,97.93668326073428,86.99750499001996,54.118485410693204,pear
8,479.8061295747757,10465.5,102.65802786209044,90.31745115818975,56.052825855139034,pear
9,443.07820761203766,8595.0,98.66768183446793,84.83739759036145,49.853746118012424,pear
10,414.5929265022278,8802.0,102.82582392776524,87.66049206801559,53.27248088277998,pear
11,428.00713980197906,8962.5,100.96458296440588,86.29481773029707,52.67919680243624,pear
12,417.32084834575653,9115.5,96.32046834345186,81.34617501375894,48.711741117224655,pear
13,599.019332408905,13786.0,106.86615609044493,95.06152480020297,61.8729133354653,pear
14,451.32084810733795,10112.5,100.71274613078357,89.05701264081176,55.62636512167856,pear
15,410.8355665206909,8034.5,97.34202697342324,86.57746182201159,55.25096649484536,pear
16,413.1787130832672,8200.5,95.51630905417107,84.73022540983607,53.11882998171846,pear
