,perimiter,area,red,green,blue,fruit
0,363.32084798812866,8196.5,16.32006666666667,12.872144444444444,2.2382555555555554,jeruk
1,615.9726496934891,23190.5,48.740500000000004,39.03273333333333,7.5159,jeruk
2,374.49242174625397,8577.5,16.945522222222223,13.321433333333333,4.049722222222222,jeruk
3,511.8893895149231,15831.5,30.955833333333334,25.84578888888889,3.0006666666666666,jeruk
4,545.3036025762558,16978.0,31.92858888888889,27.241266666666668,3.5281222222222226,jeruk
5,542.759446978569,17895.0,37.82754444444445,30.825411111111112,3.2701000000000002,jeruk
6,492.91882705688477,14961.5,33.71591111111111,26.056544444444445,2.6243555555555558,jeruk
7,441.948264837265,11869.5,24.83557777777778,20.192322222222224,2.6015111111111113,jeruk
8,533.3452333211899,16168.5,28.093544444444447,26.3092,2.982266666666667,jeruk
9,441.84775972366333,10689.0,17.466933333333333,16.387033333333335,2.3083222222222224,jeruk
10,763.3696179389954,27460.5,44.074733333333334,43.52204444444445,4.764755555555555,jeruk
11,615.3452340364456,22952.5,53.720333333333336,35.998311111111114,4.837155555555555,jeruk
12,578.6173111200333,17792.0,38.28115555555556,32.4289,3.2492666666666667,jeruk
13,581.830514550209,21845.5,47.40038888888889,36.476511111111115,4.262822222222223,jeruk
14,596.9015824794769,21156.0,46.005433333333336,37.47,4.059733333333334,jeruk
15,675.6711342334747,27593.0,55.61123333333334,46.976400000000005,4.5200000000000005,jeruk
16,465.7472538948059,13504.5,30.120444444444445,24.340133333333334,2.305966666666667,jeruk
17,588.7594465017319,20727.0,45.789,34.588055555555556,3.291677777777778,jeruk
18,590.173659324646,21442.5,48.22502222222222,38.29304444444445,2.918844444444445,jeruk
19,694.8427067995071,30156.0,65.87504444444444,51.60907777777778,7.98208888888889,jeruk
20,397.563489317894,9334.0,19.58657777777778,15.122100000000001,2.847888888888889,jeruk
21,475.0609624385834,13908.5,29.755522222222222,24.11398888888889,2.5077000000000003,jeruk
22,447.1614685058594,12681.0,27.510711111111114,23.76,2.461866666666667,jeruk
23,497.16146779060364,14627.0,33.28067777777778,25.49127777777778,2.752888888888889,jeruk
24,575.5878742933273,20474.0,45.85446666666667,34.88351111111111,3.9107555555555558,jeruk
25,439.2619732618332,10312.5,18.722333333333335,13.772511111111111,1.456288888888889,jeruk
26,447.6051194667816,11328.5,20.667555555555555,14.92758888888889,1.7803666666666667,jeruk
27,502.23253536224365,13626.5,24.192744444444447,17.01207777777778,1.5249222222222223,jeruk
28,431.1198375225067,10827.5,19.172944444444447,13.69288888888889,2.2132333333333336,jeruk
29,522.6173111200333,13611.0,26.61608888888889,18.863833333333336,2.0094000000000003,jeruk
30,438.1909055709839,10285.0,19.162255555555557,13.173233333333334,1.6426444444444446,jeruk
31,428.53405141830444,10092.0,18.778088888888888,13.087444444444445,1.6081,jeruk
32,507.4457392692566,15007.0,28.784344444444447,20.282722222222223,2.0155000000000003,jeruk
33,463.8477592468262,11926.0,21.11887777777778,14.430122222222224,1.6782555555555556,jeruk
34,476.57568168640137,12700.5,23.15137777777778,16.010177777777777,1.8481666666666667,jeruk
35,444.53405117988586,11451.0,20.77177777777778,14.253466666666668,1.721377777777778,jeruk
36,444.19090509414673,11577.0,22.94538888888889,16.706355555555557,1.7702777777777778,jeruk
37,614.4163011312485,10550.0,18.06087777777778,12.491166666666667,1.2416111111111112,jeruk
38,478.7178169488907,12262.5,25.67937777777778,18.616877777777777,1.7682666666666667,jeruk
39,586.5168060064316,17648.5,33.82392222222222,24.038500000000003,2.219466666666667,jeruk
0,309.1787129640579,3051.5,5.696788888888889,3.766611111111111,1.21,banana
1,504.2325351238251,11327.5,20.64431111111111,15.51888888888889,2.373477777777778,banana
2,293.27921760082245,3136.0,4.796711111111112,3.547977777777778,0.7327,banana
3,314.6518017053604,4052.0,6.666033333333334,5.046266666666667,1.0165222222222223,banana
4,483.2863577604294,7151.5,12.741144444444446,9.814166666666667,1.6188444444444445,banana
5,631.7300087213516,15933.0,29.446733333333334,22.25776666666667,2.4702222222222225,banana
6,594.3746707439423,10715.5,19.463155555555556,14.7675,2.264666666666667,banana
7,581.4457386732101,14550.0,27.126333333333335,20.89441111111111,2.912488888888889,banana
8,710.8427072763443,15541.0,25.591755555555558,19.36091111111111,2.3761666666666668,banana
9,502.96045792102814,10386.0,19.096611111111113,14.287555555555556,1.9967222222222223,banana
10,555.9726495742798,11905.5,20.933611111111112,15.823511111111111,1.3762666666666667,banana
11,562.2569198608398,10869.5,20.080466666666666,15.422977777777778,2.083355555555556,banana
12,680.5828212499619,17207.0,29.5443,22.434044444444446,2.3796666666666666,banana
13,717.872144818306,15120.0,24.52908888888889,18.06077777777778,2.9060111111111113,banana
14,649.1686074733734,14112.5,25.351311111111112,19.725655555555555,2.8496555555555556,banana
15,459.56348872184753,9038.0,14.8481,11.166633333333333,1.4096222222222223,banana
16,607.2274825572968,13037.5,22.224144444444445,16.66798888888889,1.8520555555555556,banana
17,457.8893893957138,8034.5,13.537322222222222,10.094833333333334,1.2116444444444445,banana
18,475.50461316108704,8698.0,14.652211111111113,11.080044444444445,1.3359555555555556,banana
